,DS_CARGO,NM_CANDIDATO,NM_SOCIAL_CANDIDATO,NM_PARTIDO,DS_GENERO,DS_COR_RACA,NR_IDADE_DATA_POSSE,DS_GRAU_INSTRUCAO,NM_UE
4727,VEREADOR,ADEJANE RAFAEL SANTOS,#NULO#,PARTIDO REPUBLICANO BRASILEIRO,FEMININO,PARDA,41,SUPERIOR COMPLETO,NOVA FRIBURGO
4728,VEREADOR,MARCOS CEZAR BARROS DE CASTRO JUNIOR,#NULO#,PARTIDO DOS TRABALHADORES,MASCULINO,PARDA,36,ENSINO MÉDIO COMPLETO,NILÓPOLIS
4729,VEREADOR,ALOISIO DE SOUZA FERREIRA,#NULO#,DEMOCRATAS,MASCULINO,BRANCA,41,SUPERIOR COMPLETO,MARICÁ
4730,VEREADOR,SANDRA FLORENTINO DA SILVA,#NULO#,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,FEMININO,BRANCA,59,ENSINO MÉDIO COMPLETO,ARARUAMA
4731,VEREADOR,CARLOS ALBERTO LUIZ,#NULO#,PARTIDO TRABALHISTA CRISTÃO,MASCULINO,PRETA,47,ENSINO MÉDIO COMPLETO,DUQUE DE CAXIAS
4732,VEREADOR,ANTÔNIO MIRANDA GONÇALVES,#NULO#,PARTIDO REPUBLICANO PROGRESSISTA,MASCULINO,BRANCA,60,SUPERIOR COMPLETO,PARAÍBA DO SUL
4733,VEREADOR,VANIA DOS SANTOS,#NULO#,PARTIDO SOCIALISMO E LIBERDADE,FEMININO,PARDA,46,ENSINO MÉDIO COMPLETO,RIO DE JANEIRO
4734,VEREADOR,MARIA DINÁ KIFER,#NULO#,PARTIDO ECOLÓGICO NACIONAL,FEMININO,PARDA,58,ENSINO FUNDAMENTAL INCOMPLETO,ITALVA
4735,VEREADOR,ALVARO HENRIQUE DE SOUZA OLIVEIRA,#NULO#,SOLIDARIEDADE,MASCULINO,BRANCA,52,SUPERIOR COMPLETO,CAMPOS DOS GOYTACAZES
4736,VEREADOR,THIAGO SILVA CORREA,#NULO#,PARTIDO SOCIAL CRISTÃO,MASCULINO,BRANCA,30,SUPERIOR INCOMPLETO,VOLTA REDONDA
4737,VEREADOR,JOSÉ TADEU DIAS,#NULO#,PARTIDO REPUBLICANO BRASILEIRO,MASCULINO,BRANCA,53,SUPERIOR COMPLETO,SÃO PEDRO DA ALDEIA
4738,VEREADOR,MAURICIO QUINTINO RIBEIRO JUNIOR,#NULO#,PARTIDO POPULAR SOCIALISTA,MASCULINO,PARDA,37,ENSINO MÉDIO COMPLETO,RIO DAS OSTRAS
4739,VEREADOR,IURY FRANCE DA SILVA SOARES,#NULO#,PARTIDO SOCIAL CRISTÃO,MASCULINO,PARDA,26,ENSINO MÉDIO COMPLETO,SÃO PEDRO DA ALDEIA
4740,VEREADOR,PAULA PEÇANHA RIBEIRO,#NULO#,PARTIDO SOCIAL DEMOCRATA CRISTÃO,FEMININO,PARDA,26,SUPERIOR INCOMPLETO,SÃO GONÇALO
4741,VEREADOR,RENATA FIGUEIREDO,#NULO#,PARTIDO SOCIAL DEMOCRÁTICO,FEMININO,BRANCA,39,SUPERIOR INCOMPLETO,ARARUAMA
4742,VEREADOR,ADÃO CRUZ DA SILVA,#NULO#,PARTIDO PÁTRIA LIVRE,MASCULINO,PARDA,53,ENSINO FUNDAMENTAL COMPLETO,ITABORAÍ
4743,VEREADOR,CAROLINE VERDAN JACINTHO DE CARVALHO,#NULO#,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,FEMININO,BRANCA,23,SUPERIOR INCOMPLETO,BOM JESUS DO ITABAPOANA
4744,VEREADOR,SANDRA DOS SANTOS GOMES ALFERINO,#NULO#,PARTIDO PROGRESSISTA,FEMININO,BRANCA,41,ENSINO MÉDIO COMPLETO,ITAPERUNA
4745,VEREADOR,MARIA CLAUDIA TRANNIN DA SILVA BRITTO,#NULO#,PARTIDO SOCIAL CRISTÃO,FEMININO,BRANCA,35,ENSINO MÉDIO COMPLETO,CACHOEIRAS DE MACACU
4746,VEREADOR,IZABEL LESSA BARBOSA NOUGUEIRA,#NULO#,PARTIDO SOCIALISMO E LIBERDADE,FEMININO,PRETA,31,SUPERIOR COMPLETO,RIO DE JANEIRO
4747,VEREADOR,HELOÍSA HELENA DE CASTRO VARANDA,#NULO#,PARTIDO SOCIAL DEMOCRÁTICO,FEMININO,BRANCA,46,ENSINO MÉDIO COMPLETO,MENDES
4748,VEREADOR,IRSO COLLUSSI,#NULO#,PARTIDO REPUBLICANO DA ORDEM SOCIAL,MASCULINO,BRANCA,66,SUPERIOR COMPLETO,ANGRA DOS REIS
4749,VEREADOR,JULIO CEZAR ALVES DA CUNHA,#NULO#,PARTIDO DA MOBILIZAÇÃO NACIONAL,MASCULINO,PARDA,38,ENSINO MÉDIO COMPLETO,DUQUE DE CAXIAS
4750,VEREADOR,ROGERIO FERREIRA DOS SANTOS,#NULO#,PARTIDO TRABALHISTA CRISTÃO,MASCULINO,BRANCA,35,SUPERIOR INCOMPLETO,SAQUAREMA
4751,VEREADOR,ANDREA  ARAUJO DOS SANTOS,#NULO#,PARTIDO DEMOCRÁTICO TRABALHISTA,FEMININO,PARDA,44,ENSINO FUNDAMENTAL INCOMPLETO,QUEIMADOS
4752,VEREADOR,DANTE PINTO LUCAS,#NULO#,PARTIDO HUMANISTA DA SOLIDARIEDADE,MASCULINO,BRANCA,57,SUPERIOR COMPLETO,CAMPOS DOS GOYTACAZES
4753,VEREADOR,TERESA ALVES DE OLIVEIRA,#NULO#,PARTIDO DA MULHER BRASILEIRA,FEMININO,PRETA,58,ENSINO FUNDAMENTAL INCOMPLETO,MENDES
4754,VEREADOR,MARCOS DE CARVALHO MORTEL,#NULO#,SOLIDARIEDADE,MASCULINO,BRANCA,39,ENSINO MÉDIO COMPLETO,CACHOEIRAS DE MACACU
4755,VEREADOR,ARLECI DOS SANTOS POUBEL,#NULO#,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,FEMININO,PRETA,58,SUPERIOR COMPLETO,MACUCO
4756,VEREADOR,RITA DE CÁSSIA DE ALMEIDA TEPEDINO,#NULO#,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,FEMININO,BRANCA,52,SUPERIOR COMPLETO,TRÊS RIOS
4757,VEREADOR,ALEXANDRE VIEIRA DOS SANTOS,#NULO#,PARTIDO VERDE,MASCULINO,PRETA,45,SUPERIOR COMPLETO,DUQUE DE CAXIAS
4758,VEREADOR,CARLOS DE OLIVEIRA VICENTE,#NULO#,PARTIDO REPUBLICANO BRASILEIRO,MASCULINO,PRETA,41,ENSINO MÉDIO COMPLETO,SÃO JOÃO DE MERITI
4759,VEREADOR,ALLAN LOBATO PAIVA,#NULO#,REDE SUSTENTABILIDADE,MASCULINO,PARDA,42,SUPERIOR COMPLETO,CABO FRIO
4760,VEREADOR,ANGELICA DE SOUZA,#NULO#,PARTIDO TRABALHISTA BRASILEIRO,FEMININO,PRETA,44,ENSINO FUNDAMENTAL INCOMPLETO,SUMIDOURO
4761,VEREADOR,ALISSON MAROTTI,#NULO#,PARTIDO VERDE,MASCULINO,BRANCA,36,ENSINO MÉDIO COMPLETO,IGUABA GRANDE
4762,VEREADOR,ANTONIO CARLOS DE OLIVEIRA,#NULO#,PARTIDO POPULAR SOCIALISTA,MASCULINO,PRETA,46,ENSINO MÉDIO COMPLETO,RESENDE
