,DS_CARGO,NM_CANDIDATO,NM_SOCIAL_CANDIDATO,NM_PARTIDO,DS_GENERO,DS_COR_RACA,NR_IDADE_DATA_POSSE,DS_GRAU_INSTRUCAO,NM_UE
4659,VEREADOR,EDUARDO ABRAHIM SANTOS,#NULO#,PARTIDO SOCIAL CRISTÃO,MASCULINO,BRANCA,35,ENSINO MÉDIO COMPLETO,MARICÁ
4660,VEREADOR,GUSTAVO SILVINO DE OLIVEIRA,#NULO#,PARTIDO SOCIALISMO E LIBERDADE,MASCULINO,BRANCA,33,SUPERIOR COMPLETO,MANGARATIBA
4661,VEREADOR,LUIZ FERNANDO DE ALCANTARA,#NULO#,PARTIDO REPUBLICANO BRASILEIRO,MASCULINO,BRANCA,58,ENSINO MÉDIO COMPLETO,ITAGUAÍ
4662,VEREADOR,LUCIANA LOUZADA CASTRO,#NULO#,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,FEMININO,PARDA,46,ENSINO MÉDIO COMPLETO,SÃO GONÇALO
4663,VEREADOR,LUIS EVANDRO DE BARROS,#NULO#,PARTIDO TRABALHISTA CRISTÃO,MASCULINO,PARDA,43,ENSINO FUNDAMENTAL INCOMPLETO,PARATY
4664,VEREADOR,JANCE REGIS DE PAULA,#NULO#,PARTIDO TRABALHISTA DO BRASIL,MASCULINO,BRANCA,36,ENSINO MÉDIO COMPLETO,CARAPEBUS
4665,VEREADOR,RENATA GOMES DA SILVA SANTOS,#NULO#,PARTIDO SOCIAL CRISTÃO,FEMININO,PARDA,37,ENSINO MÉDIO COMPLETO,SEROPÉDICA
4666,VEREADOR,CARLOS BARBOSA DE ARAUJO,#NULO#,PARTIDO TRABALHISTA BRASILEIRO,MASCULINO,PRETA,51,ENSINO FUNDAMENTAL INCOMPLETO,RIO CLARO
4667,VEREADOR,CARLOS DE OLIVEIRA COSTA,#NULO#,PARTIDO ECOLÓGICO NACIONAL,MASCULINO,PARDA,54,ENSINO MÉDIO COMPLETO,VALENÇA
4668,VEREADOR,AILTON DIAS FERREIRA,#NULO#,PARTIDO SOCIALISMO E LIBERDADE,MASCULINO,PARDA,47,ENSINO FUNDAMENTAL INCOMPLETO,RIO DE JANEIRO
4669,VEREADOR,MARIA REGINA DA CONCEIÇÃO SANTOS DEJEAN,#NULO#,REDE SUSTENTABILIDADE,FEMININO,BRANCA,52,SUPERIOR COMPLETO,NITERÓI
4670,VEREADOR,GUSTAVO DE MORAES CAVALCANTE COSTA,#NULO#,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,MASCULINO,BRANCA,47,SUPERIOR COMPLETO,RESENDE
4671,VEREADOR,VALTER CORREA,#NULO#,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,MASCULINO,BRANCA,59,ENSINO FUNDAMENTAL INCOMPLETO,SANTO ANTÔNIO DE PÁDUA
4672,VEREADOR,LUCIANO FORTUNATO DE EGÍDIO,#NULO#,PARTIDO REPUBLICANO BRASILEIRO,MASCULINO,BRANCA,43,SUPERIOR COMPLETO,BOM JESUS DO ITABAPOANA
4673,VEREADOR,FABIANO ARENARI DO CARMO,#NULO#,PARTIDO REPUBLICANO DA ORDEM SOCIAL,MASCULINO,BRANCA,50,ENSINO MÉDIO COMPLETO,NATIVIDADE
4674,VEREADOR,NILMA LEAL MOLINA,#NULO#,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,FEMININO,BRANCA,38,ENSINO MÉDIO COMPLETO,CAMBUCI
4675,VEREADOR,NAELSON ABDON DE ARAUJO,#NULO#,DEMOCRATAS,MASCULINO,BRANCA,60,ENSINO FUNDAMENTAL COMPLETO,MESQUITA
4676,VEREADOR,BRUNO DE LIMA MACHADO,#NULO#,PARTIDO REPUBLICANO BRASILEIRO,MASCULINO,PARDA,36,ENSINO MÉDIO COMPLETO,CACHOEIRAS DE MACACU
4677,VEREADOR,CRISTIANE SILVEIRA COSTA RITO NUNES,#NULO#,SOLIDARIEDADE,FEMININO,BRANCA,41,ENSINO MÉDIO COMPLETO,IGUABA GRANDE
4678,VEREADOR,WELLINGTON PASSOS BARROS,#NULO#,PARTIDO REPUBLICANO BRASILEIRO,MASCULINO,PRETA,61,ENSINO MÉDIO COMPLETO,RIO DE JANEIRO
4679,VEREADOR,VALDEA MARIA DE SIQUEIRA VENENO,#NULO#,PARTIDO REPUBLICANO BRASILEIRO,FEMININO,BRANCA,54,ENSINO MÉDIO INCOMPLETO,RIO BONITO
4680,VEREADOR,VALDEMIR DE CASTRO SANTOS DE OLIVEIRA,#NULO#,PARTIDO PROGRESSISTA,MASCULINO,PARDA,42,SUPERIOR INCOMPLETO,BELFORD ROXO
4681,VEREADOR,VALDECI CARVALHO DA CONCEICAO,#NULO#,PARTIDO SOCIAL CRISTÃO,MASCULINO,PRETA,52,ENSINO MÉDIO INCOMPLETO,RIO BONITO
4682,VEREADOR,ELIANGELA MARIA DO NASCIMENTO SOUZA,#NULO#,PARTIDO TRABALHISTA BRASILEIRO,FEMININO,PRETA,40,ENSINO FUNDAMENTAL INCOMPLETO,PIRAÍ
4683,VEREADOR,MARIA DE FÁTIMA DA ROSA MACHADO,#NULO#,PARTIDO POPULAR SOCIALISTA,FEMININO,PRETA,57,ENSINO FUNDAMENTAL INCOMPLETO,RIO DAS FLORES
4684,VEREADOR,JOSELEIA RIBEIRO CESÁRIO,#NULO#,SOLIDARIEDADE,FEMININO,BRANCA,33,ENSINO MÉDIO INCOMPLETO,MENDES
4685,VEREADOR,MARCOS AURÉLIO DOS SANTOS GONÇALVES,#NULO#,SOLIDARIEDADE,MASCULINO,PARDA,45,ENSINO MÉDIO COMPLETO,SÃO GONÇALO
4686,VEREADOR,CARLOS ALBERTO RUSSO,#NULO#,PARTIDO TRABALHISTA DO BRASIL,MASCULINO,BRANCA,44,SUPERIOR COMPLETO,JAPERI
4687,VEREADOR,BÁRBARA DANIELA JACQUES RODRIGUES,#NULO#,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,FEMININO,BRANCA,45,ENSINO MÉDIO COMPLETO,SÃO JOÃO DE MERITI
4688,VEREADOR,IVANILDA JOSEFA DA SILVA DA COSTA,#NULO#,PARTIDO HUMANISTA DA SOLIDARIEDADE,FEMININO,PRETA,58,ENSINO FUNDAMENTAL INCOMPLETO,RIO DE JANEIRO
4689,VEREADOR,AMADEU FABIO TEIXEIRA,#NULO#,PARTIDO DEMOCRÁTICO TRABALHISTA,MASCULINO,BRANCA,53,SUPERIOR INCOMPLETO,RIO DE JANEIRO
4690,VEREADOR,MARCOS ELI MALHO,#NULO#,PARTIDO PROGRESSISTA,MASCULINO,BRANCA,48,ENSINO FUNDAMENTAL INCOMPLETO,MIGUEL PEREIRA
4691,VEREADOR,ALEXANDRE DE SOUZA ROCHA,#NULO#,PARTIDO SOCIALISTA BRASILEIRO,MASCULINO,PARDA,42,SUPERIOR INCOMPLETO,JAPERI
4692,VEREADOR,LEANDRO RUFINO MARQUES,#NULO#,SOLIDARIEDADE,MASCULINO,BRANCA,40,SUPERIOR INCOMPLETO,DUQUE DE CAXIAS
4693,VEREADOR,REGINA LÚCIA DE SOUZA SOARES,#NULO#,REDE SUSTENTABILIDADE,FEMININO,BRANCA,54,SUPERIOR INCOMPLETO,ARARUAMA
4694,VEREADOR,SILVIO PEREIRA VITAL,#NULO#,PARTIDO DA REPÚBLICA,MASCULINO,PRETA,57,ENSINO FUNDAMENTAL INCOMPLETO,SILVA JARDIM
4695,VEREADOR,GUANAIR FERNANDO KLEIN,#NULO#,PARTIDO REPUBLICANO BRASILEIRO,MASCULINO,PARDA,43,ENSINO FUNDAMENTAL INCOMPLETO,CACHOEIRAS DE MACACU
4696,VEREADOR,SEBASTIÃO SALGADO BONAN,#NULO#,PARTIDO HUMANISTA DA SOLIDARIEDADE,MASCULINO,BRANCA,50,ENSINO MÉDIO COMPLETO,MACUCO
4697,VEREADOR,MEIRE LUCIA DE CARVALHO SILVA,#NULO#,PARTIDO PROGRESSISTA,FEMININO,PARDA,53,ENSINO MÉDIO COMPLETO,BELFORD ROXO
4698,VEREADOR,MARLI SANTA ROSA DE MELO,#NULO#,PARTIDO REPUBLICANO PROGRESSISTA,FEMININO,BRANCA,71,ENSINO FUNDAMENTAL COMPLETO,CABO FRIO
4699,VEREADOR,MARCELO CARDOSO RODRIGUES,#NULO#,PARTIDO TRABALHISTA NACIONAL,MASCULINO,PRETA,44,ENSINO MÉDIO COMPLETO,DUQUE DE CAXIAS
4700,VEREADOR,EDUARDO FERREIRA JORDÃO,#NULO#,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,MASCULINO,BRANCA,44,SUPERIOR INCOMPLETO,MANGARATIBA
4701,VEREADOR,LUCIANO GOMES TEIXEIRA,#NULO#,PARTIDO SOCIAL LIBERAL,MASCULINO,BRANCA,41,ENSINO FUNDAMENTAL COMPLETO,SÃO FRANCISCO DE ITABAPOANA
4702,VEREADOR,MARIA CECILIA COSTA DE SA,#NULO#,PARTIDO PROGRESSISTA,FEMININO,BRANCA,69,SUPERIOR COMPLETO,VOLTA REDONDA
4703,VEREADOR,PATRÍCIA MELLO DE SOUZA,#NULO#,PARTIDO TRABALHISTA NACIONAL,FEMININO,BRANCA,31,SUPERIOR COMPLETO,SÃO FIDÉLIS
4704,VEREADOR,AIDA RODRIGUES CARDOSO,#NULO#,PARTIDO VERDE,FEMININO,BRANCA,42,SUPERIOR COMPLETO,VOLTA REDONDA
4705,VEREADOR,MARIA EUNICE FELIX DOS SANTOS,#NULO#,PARTIDO TRABALHISTA DO BRASIL,FEMININO,PARDA,55,SUPERIOR COMPLETO,SÃO GONÇALO
4706,VEREADOR,PAULO CESAR DA CUNHA,#NULO#,PARTIDO SOCIAL LIBERAL,MASCULINO,BRANCA,44,ENSINO MÉDIO COMPLETO,RESENDE
4707,VEREADOR,MAURENI DE SOUZA,#NULO#,PARTIDO TRABALHISTA DO BRASIL,FEMININO,BRANCA,52,ENSINO MÉDIO COMPLETO,CARAPEBUS
4708,VEREADOR,CLARINDO JOSÉ DE PAULO,#NULO#,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,MASCULINO,BRANCA,67,ENSINO FUNDAMENTAL INCOMPLETO,MAGÉ
4709,VEREADOR,ALDO DE OLIVEIRA LOPES,#NULO#,PARTIDO SOCIAL CRISTÃO,MASCULINO,BRANCA,57,SUPERIOR INCOMPLETO,MANGARATIBA
4710,VEREADOR,ATILA GUIMARÃES NOGUEIRA,#NULO#,PARTIDO POPULAR SOCIALISTA,MASCULINO,BRANCA,47,ENSINO MÉDIO COMPLETO,VALENÇA
4711,VEREADOR,TERESA CRISTINA SILVA MARTINS,#NULO#,PARTIDO DA MULHER BRASILEIRA,FEMININO,BRANCA,45,ENSINO MÉDIO COMPLETO,PATY DO ALFERES
4712,VEREADOR,CARLOS ANTÔNIO MADURO,#NULO#,PARTIDO TRABALHISTA NACIONAL,MASCULINO,BRANCA,49,ENSINO FUNDAMENTAL INCOMPLETO,NOVA FRIBURGO
4713,VEREADOR,MARCIANO ORLANDO PIRES,#NULO#,PARTIDO DA REPÚBLICA,MASCULINO,BRANCA,48,ENSINO FUNDAMENTAL INCOMPLETO,QUATIS
4714,VEREADOR,LIVIA ARAUJO BISPO,#NULO#,PARTIDO SOCIAL LIBERAL,FEMININO,BRANCA,36,ENSINO FUNDAMENTAL INCOMPLETO,ITATIAIA
4716,VEREADOR,MARILANE BIZARRIA DE LIMA,#NULO#,PARTIDO TRABALHISTA NACIONAL,FEMININO,BRANCA,49,ENSINO MÉDIO INCOMPLETO,SÃO GONÇALO
4717,VEREADOR,THAIS DA SILVA SOUZA,#NULO#,PARTIDO TRABALHISTA NACIONAL,FEMININO,BRANCA,36,SUPERIOR COMPLETO,BOM JESUS DO ITABAPOANA
4718,VEREADOR,EDNA FERREIRA COSTA,#NULO#,PARTIDO SOCIAL DEMOCRATA CRISTÃO,FEMININO,BRANCA,51,SUPERIOR COMPLETO,RIO DE JANEIRO
4719,VEREADOR,CLAUDIO LUIZ FARIA BERNARDINO,#NULO#,PARTIDO PROGRESSISTA,MASCULINO,BRANCA,50,ENSINO MÉDIO COMPLETO,CARDOSO MOREIRA
4720,VEREADOR,ORLANDINO COSTA NOVAIS,#NULO#,PARTIDO REPUBLICANO DA ORDEM SOCIAL,MASCULINO,BRANCA,51,ENSINO FUNDAMENTAL INCOMPLETO,ITATIAIA
4722,VEREADOR,LUCIANA GOMES DA SILVA,#NULO#,PARTIDO SOCIAL DEMOCRATA CRISTÃO,FEMININO,INDÍGENA,47,SUPERIOR INCOMPLETO,RIO DE JANEIRO
4723,VEREADOR,CHAYANE POLTRONIERI ROSEIRA,#NULO#,PARTIDO HUMANISTA DA SOLIDARIEDADE,FEMININO,BRANCA,25,SUPERIOR INCOMPLETO,ITABORAÍ
4724,VEREADOR,JESSICA RAMOS DA PAIXÃO,#NULO#,PARTIDO DEMOCRÁTICO TRABALHISTA,FEMININO,PARDA,26,ENSINO MÉDIO COMPLETO,BARRA MANSA
4725,VEREADOR,JADILSON DE OLIVEIRA PEREIRA,#NULO#,PARTIDO SOCIAL LIBERAL,MASCULINO,PARDA,55,ENSINO MÉDIO COMPLETO,SEROPÉDICA
4726,VEREADOR,RUTH XAVIER DE SOUZA SILVA,#NULO#,PARTIDO TRABALHISTA DO BRASIL,FEMININO,PARDA,50,ENSINO MÉDIO COMPLETO,SÃO GONÇALO
