,DS_CARGO,NM_CANDIDATO,NM_SOCIAL_CANDIDATO,NM_PARTIDO,DS_GENERO,DS_COR_RACA,NR_IDADE_DATA_POSSE,DS_GRAU_INSTRUCAO,NM_UE,VR_DESPESA_MAX_CAMPANHA
8260,VEREADOR,EDISON TEODORO PEDROSA,#NULO#,PARTIDO HUMANISTA DA SOLIDARIEDADE,MASCULINO,NEGRA,46,SUPERIOR INCOMPLETO,RIO DE JANEIRO,0
8261,VEREADOR,TOMIRES DE OLIVEIRA ALMEIDA,#NULO#,PARTIDO PÁTRIA LIVRE,MASCULINO,NEGRA,49,ENSINO MÉDIO COMPLETO,RIO DE JANEIRO,0
8262,VEREADOR,JOÃO CARLOS PEREIRA DA ROCHA,#NULO#,PARTIDO DA MOBILIZAÇÃO NACIONAL,MASCULINO,BRANCA,62,ENSINO MÉDIO COMPLETO,NITERÓI,-1
8263,VEREADOR,UBIRAJABA FERNANDO DO NASCIMENTO,#NULO#,PARTIDO PROGRESSISTA,MASCULINO,NEGRA,55,ENSINO FUNDAMENTAL COMPLETO,SÃO GONÇALO,-1
8264,VEREADOR,CARLOS ALBERTO JORGE DA SILVA,#NULO#,PARTIDO REPUBLICANO DA ORDEM SOCIAL,MASCULINO,NEGRA,55,ENSINO FUNDAMENTAL INCOMPLETO,RIO DAS OSTRAS,0
8265,VEREADOR,JORGE FERNANDES,#NULO#,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,MASCULINO,NEGRA,63,ENSINO FUNDAMENTAL INCOMPLETO,VASSOURAS,-1
8266,VEREADOR,MARIA DAS GRAÇAS CARDOSO RODRIGUES,#NULO#,PARTIDO REPUBLICANO BRASILEIRO,FEMININO,NEGRA,60,SUPERIOR COMPLETO,RIO DE JANEIRO,-1
8267,VEREADOR,JOSÉ HENRIQUE ALVES MOREIRA,#NULO#,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,MASCULINO,BRANCA,53,ENSINO FUNDAMENTAL COMPLETO,RESENDE,-1
8268,VEREADOR,PAULO SERGIO PROTESTATO CABRAL,#NULO#,PARTIDO PÁTRIA LIVRE,MASCULINO,BRANCA,48,ENSINO FUNDAMENTAL INCOMPLETO,SEROPÉDICA,0
8269,VEREADOR,IALDO DO NASCIMENTO RODRIGUES,#NULO#,PARTIDO COMUNISTA DO BRASIL,MASCULINO,NEGRA,54,ENSINO MÉDIO COMPLETO,RESENDE,-1
8271,VEREADOR,ANA CAROLINE FALCÃO NORONHA,#NULO#,PARTIDO HUMANISTA DA SOLIDARIEDADE,FEMININO,BRANCA,34,ENSINO MÉDIO COMPLETO,CANTAGALO,-1
8272,VEREADOR,GENILSON MOREIRA DE BARROS ALMEIDA,#NULO#,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,MASCULINO,BRANCA,41,SUPERIOR COMPLETO,BARRA MANSA,0
8273,VEREADOR,WASHINGTON LUIZ DOS SANTOS,#NULO#,PARTIDO SOCIALISTA BRASILEIRO,MASCULINO,BRANCA,39,ENSINO FUNDAMENTAL COMPLETO,RIO DAS OSTRAS,0
8274,VEREADOR,MOYSÉS RIBEIRO DE MATTOS,#NULO#,PARTIDO REPUBLICANO BRASILEIRO,MASCULINO,BRANCA,39,ENSINO MÉDIO COMPLETO,RIO DAS OSTRAS,0
8275,VEREADOR,AILTON DE NAZARE MANOEL,#NULO#,PARTIDO SOCIAL CRISTÃO,MASCULINO,NEGRA,51,ENSINO MÉDIO COMPLETO,JAPERI,-1
8276,VEREADOR,MARIO ANTONIO DIAS DA SILVA,#NULO#,PARTIDO TRABALHISTA BRASILEIRO,MASCULINO,NEGRA,54,ENSINO MÉDIO COMPLETO,ARARUAMA,0
8277,VEREADOR,VANDERLEI COELHO ALVES,#NULO#,PARTIDO PROGRESSISTA,MASCULINO,NEGRA,46,ENSINO MÉDIO COMPLETO,ITAOCARA,-1
8278,VEREADOR,MARIA IGNEZ ROSA TEIXEIRA,#NULO#,PARTIDO VERDE,FEMININO,NEGRA,46,SUPERIOR COMPLETO,NILÓPOLIS,-1
8280,VEREADOR,ALEIDO MARTINS,#NULO#,PARTIDO REPUBLICANO DA ORDEM SOCIAL,MASCULINO,BRANCA,65,ENSINO FUNDAMENTAL INCOMPLETO,BOM JARDIM,-1
8281,VEREADOR,ROSEANE DE JESUS PEREIRA DE SOUZA,#NULO#,PARTIDO DA REPÚBLICA,FEMININO,BRANCA,46,ENSINO MÉDIO COMPLETO,MENDES,-1
8282,VEREADOR,ROBSON LUIZ DE CARVALHO DUTRA,#NULO#,PARTIDO ECOLÓGICO NACIONAL,MASCULINO,NEGRA,46,ENSINO MÉDIO COMPLETO,DUQUE DE CAXIAS,-1
8283,VEREADOR,FAGNER PEIXOTO GUIMARÃES,#NULO#,PARTIDO REPUBLICANO DA ORDEM SOCIAL,MASCULINO,BRANCA,35,ENSINO FUNDAMENTAL COMPLETO,ITATIAIA,-1
8284,VEREADOR,ELISABETE DA SILVA BARBOSA,#NULO#,PARTIDO REPUBLICANO DA ORDEM SOCIAL,FEMININO,NEGRA,52,LÊ E ESCREVE,TERESÓPOLIS,0
8285,VEREADOR,JOSEFA BALBINO DE OLIVEIRA LIMA,#NULO#,PARTIDO PÁTRIA LIVRE,FEMININO,NEGRA,39,ENSINO MÉDIO COMPLETO,SÃO GONÇALO,-1
8286,VEREADOR,MONIQUE LIMA DA CUNHA MOREIRA,#NULO#,PARTIDO DA MOBILIZAÇÃO NACIONAL,FEMININO,NEGRA,33,ENSINO FUNDAMENTAL COMPLETO,SÃO GONÇALO,-1
8287,VEREADOR,JOSE CARLOS TEIXEIRA DE MIRANDA,#NULO#,PARTIDO REPUBLICANO BRASILEIRO,MASCULINO,BRANCA,59,ENSINO MÉDIO COMPLETO,RIO BONITO,0
8288,VEREADOR,CLEIA MACHADO FALEIRO,#NULO#,PARTIDO VERDE,FEMININO,BRANCA,65,SUPERIOR COMPLETO,ITAGUAÍ,0
8289,VEREADOR,GRIVÂNIA MACHADO CAMPOS,#NULO#,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,FEMININO,BRANCA,32,ENSINO MÉDIO COMPLETO,SÃO FRANCISCO DE ITABAPOANA,-1
8290,VEREADOR,ALINE GLORIA DA SILVA COSTA,#NULO#,PARTIDO TRABALHISTA DO BRASIL,FEMININO,NEGRA,37,ENSINO FUNDAMENTAL INCOMPLETO,DUQUE DE CAXIAS,-1
8291,VEREADOR,ARIALDO SILVA RIBEIRO,#NULO#,PARTIDO TRABALHISTA DO BRASIL,MASCULINO,NEGRA,50,SUPERIOR COMPLETO,DUQUE DE CAXIAS,-1
8292,VEREADOR,ANTONIO DA COSTA SOUZA,#NULO#,PARTIDO DEMOCRÁTICO TRABALHISTA,MASCULINO,NEGRA,49,ENSINO FUNDAMENTAL INCOMPLETO,PATY DO ALFERES,-1
8293,VEREADOR,ANDERSON PAULO DA SILVA,#NULO#,PARTIDO REPUBLICANO DA ORDEM SOCIAL,MASCULINO,NEGRA,33,ENSINO MÉDIO COMPLETO,NOVA IGUAÇU,-1
8294,VEREADOR,FRANCISCO CARLOS RIBEIRO,#NULO#,PARTIDO SOCIALISTA BRASILEIRO,MASCULINO,BRANCA,54,ENSINO FUNDAMENTAL INCOMPLETO,CARMO,-1
8295,VEREADOR,WAGNER DIAS BASTOS,#NULO#,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,MASCULINO,NEGRA,51,ENSINO MÉDIO COMPLETO,NOVA IGUAÇU,-1
8296,VEREADOR,CLAUDIA SILVA DE ANDRADE PEREIRA,#NULO#,PARTIDO SOCIAL DEMOCRÁTICO,FEMININO,NEGRA,49,ENSINO FUNDAMENTAL INCOMPLETO,SÃO GONÇALO,-1
8297,VEREADOR,ALEXANDRE RODRIGO XAVIER BERRETA,#NULO#,SOLIDARIEDADE,MASCULINO,BRANCA,36,SUPERIOR COMPLETO,RIO DE JANEIRO,0
8298,VEREADOR,OSVALDO GUIMARAES MAIA,#NULO#,PARTIDO SOCIAL DEMOCRÁTICO,MASCULINO,NEGRA,39,SUPERIOR INCOMPLETO,RIO DE JANEIRO,0
8299,VEREADOR,MARIA DE LURDES DE MELLO FONTES,#NULO#,PARTIDO SOCIAL DEMOCRÁTICO,FEMININO,BRANCA,48,SUPERIOR COMPLETO,PATY DO ALFERES,-1
8300,VEREADOR,ROSARIA DE FÁTIMA RODRIGUES,#NULO#,PARTIDO VERDE,FEMININO,NEGRA,54,ENSINO FUNDAMENTAL COMPLETO,ITATIAIA,-1
8301,VEREADOR,GLAUBER PESSOA BASTOS,#NULO#,PARTIDO SOCIAL DEMOCRATA CRISTÃO,MASCULINO,BRANCA,31,SUPERIOR COMPLETO,ITAPERUNA,-1
8302,VEREADOR,JOSE AUGUSTO SOARES DE SOUZA,#NULO#,PARTIDO HUMANISTA DA SOLIDARIEDADE,MASCULINO,BRANCA,50,ENSINO FUNDAMENTAL COMPLETO,SÃO PEDRO DA ALDEIA,-1
8303,VEREADOR,ELISANGELA VIEIRA DE MATOS,#NULO#,PARTIDO DA REPÚBLICA,FEMININO,BRANCA,36,ENSINO MÉDIO COMPLETO,BARRA MANSA,0
8304,VEREADOR,ROBERTO FRANCISCO GIANNATTASIO,#NULO#,SOLIDARIEDADE,MASCULINO,NEGRA,51,SUPERIOR COMPLETO,MARICÁ,-1
8305,VEREADOR,ODILLO ANDRE CHERMAUTH,#NULO#,DEMOCRATAS,MASCULINO,BRANCA,62,ENSINO FUNDAMENTAL INCOMPLETO,CARMO,-1
