,FEMININO,%FEMININO,MASCULINO,%MASCULINO,BRANCA,%BRANCA,NEGRA,%NEGRA,AMARELA,%AMARELA,INDÍGENA,%INDÍGENA,ENSINO MÉDIO,%ENSINO MÉDIO,ENSINO FUNDAMENTAL,%ENSINO FUNDAMENTAL,ENSINO SUPERIOR,%ENSINO SUPERIOR,LÊ E ESCREVE,%LÊ E ESCREVE
CÍCERO DANTAS,17,35.4,31,64.6,27.0,56.2,21,43.8,0.0,0.0,0.0,0.0,27,56.2,11,22.9,10,20.8,0.0,0.0
DIAS D'ÁVILA,59,33.3,118,66.7,33.0,18.6,144,81.4,0.0,0.0,0.0,0.0,103,58.2,35,19.8,36,20.3,3.0,1.7
DOM BASÍLIO,18,36.0,32,64.0,14.0,28.0,36,72.0,0.0,0.0,0.0,0.0,23,46.0,22,44.0,5,10.0,0.0,0.0
DOM MACEDO COSTA,9,34.6,17,65.4,13.0,50.0,13,50.0,0.0,0.0,0.0,0.0,13,50.0,10,38.5,3,11.5,0.0,0.0
DÁRIO MEIRA,21,31.3,46,68.7,3.0,4.5,64,95.5,0.0,0.0,0.0,0.0,31,46.3,31,46.3,5,7.5,0.0,0.0
ELÍSIO MEDRADO,12,34.3,23,65.7,24.0,68.6,11,31.4,0.0,0.0,0.0,0.0,18,51.4,15,42.9,2,5.7,0.0,0.0
ENCRUZILHADA,33,34.4,63,65.6,15.0,15.6,81,84.4,0.0,0.0,0.0,0.0,42,43.8,40,41.7,10,10.4,4.0,4.2
ENTRE RIOS,62,34.1,120,65.9,17.0,9.3,165,90.7,0.0,0.0,0.0,0.0,98,53.8,49,26.9,34,18.7,1.0,0.5
ESPLANADA,50,33.6,99,66.4,4.0,2.7,145,97.3,0.0,0.0,0.0,0.0,66,44.3,41,27.5,35,23.5,7.0,4.7
EUCLIDES DA CUNHA,22,32.4,46,67.6,4.0,5.9,63,92.6,0.0,0.0,1.0,1.5,32,47.1,13,19.1,18,26.5,5.0,7.4
EUNÁPOLIS,55,32.0,117,68.0,28.0,16.3,142,82.6,1.0,0.6,1.0,0.6,87,50.6,41,23.8,44,25.6,0.0,0.0
FEIRA DA MATA,13,34.2,25,65.8,25.0,65.8,13,34.2,0.0,0.0,0.0,0.0,22,57.9,10,26.3,5,13.2,1.0,2.6
FEIRA DE SANTANA,133,32.2,280,67.8,58.0,14.0,354,85.7,1.0,0.2,0.0,0.0,237,57.4,53,12.8,121,29.3,2.0,0.5
FILADÉLFIA,24,32.0,51,68.0,11.0,14.7,64,85.3,0.0,0.0,0.0,0.0,35,46.7,22,29.3,16,21.3,2.0,2.7
FIRMINO ALVES,10,35.7,18,64.3,3.0,10.7,25,89.3,0.0,0.0,0.0,0.0,16,57.1,9,32.1,3,10.7,0.0,0.0
FLORESTA AZUL,23,32.4,48,67.6,11.0,15.5,60,84.5,0.0,0.0,0.0,0.0,37,52.1,26,36.6,7,9.9,1.0,1.4
FORMOSA DO RIO PRETO,22,33.3,44,66.7,9.0,13.6,57,86.4,0.0,0.0,0.0,0.0,28,42.4,16,24.2,17,25.8,5.0,7.6
FÁTIMA,12,32.4,25,67.6,15.0,40.5,22,59.5,0.0,0.0,0.0,0.0,22,59.5,7,18.9,8,21.6,0.0,0.0
GANDU,44,32.6,91,67.4,11.0,8.1,124,91.9,0.0,0.0,0.0,0.0,79,58.5,31,23.0,24,17.8,1.0,0.7
GAVIÃO,10,32.3,21,67.7,3.0,9.7,28,90.3,0.0,0.0,0.0,0.0,22,71.0,5,16.1,4,12.9,0.0,0.0
GENTIO DO OURO,14,33.3,28,66.7,14.0,33.3,28,66.7,0.0,0.0,0.0,0.0,24,57.1,13,31.0,5,11.9,0.0,0.0
GLÓRIA,13,31.0,29,69.0,7.0,16.7,35,83.3,0.0,0.0,0.0,0.0,10,23.8,20,47.6,9,21.4,3.0,7.1
GONGOGI,18,34.0,35,66.0,0.0,0.0,53,100.0,0.0,0.0,0.0,0.0,30,56.6,12,22.6,10,18.9,1.0,1.9
GOVERNADOR MANGABEIRA,26,32.9,53,67.1,14.0,17.7,65,82.3,0.0,0.0,0.0,0.0,40,50.6,24,30.4,15,19.0,0.0,0.0
GUAJERU,9,33.3,18,66.7,4.0,14.8,23,85.2,0.0,0.0,0.0,0.0,7,25.9,13,48.1,5,18.5,2.0,7.4
GUANAMBI,31,33.0,63,67.0,36.0,38.3,58,61.7,0.0,0.0,0.0,0.0,40,42.6,18,19.1,36,38.3,0.0,0.0
GUARATINGA,23,31.1,51,68.9,12.0,16.2,62,83.8,0.0,0.0,0.0,0.0,31,41.9,32,43.2,11,14.9,0.0,0.0
HELIÓPOLIS,9,34.6,17,65.4,4.0,15.4,22,84.6,0.0,0.0,0.0,0.0,14,53.8,2,7.7,10,38.5,0.0,0.0
IAÇU,29,33.0,59,67.0,10.0,11.4,78,88.6,0.0,0.0,0.0,0.0,52,59.1,22,25.0,14,15.9,0.0,0.0
IBIASSUCÊ,9,32.1,19,67.9,13.0,46.4,15,53.6,0.0,0.0,0.0,0.0,15,53.6,6,21.4,3,10.7,4.0,14.3
IBICARAÍ,37,32.7,76,67.3,14.0,12.4,99,87.6,0.0,0.0,0.0,0.0,51,45.1,27,23.9,34,30.1,1.0,0.9
