,FEMININO,%FEMININO,MASCULINO,%MASCULINO,BRANCA,%BRANCA,NEGRA,%NEGRA,AMARELA,%AMARELA,INDÍGENA,%INDÍGENA,ENSINO MÉDIO,%ENSINO MÉDIO,ENSINO FUNDAMENTAL,%ENSINO FUNDAMENTAL,ENSINO SUPERIOR,%ENSINO SUPERIOR,LÊ E ESCREVE,%LÊ E ESCREVE
TEODORO SAMPAIO,25,36.8,43,63.2,2.0,2.9,66,97.1,0.0,0.0,0.0,0.0,49,72.1,14,20.6,5,7.4,0.0,0.0
TEOFILÂNDIA,36,33.6,71,66.4,20.0,18.7,87,81.3,0.0,0.0,0.0,0.0,63,58.9,29,27.1,14,13.1,1.0,0.9
TEOLÂNDIA,18,34.0,35,66.0,8.0,15.1,45,84.9,0.0,0.0,0.0,0.0,25,47.2,13,24.5,11,20.8,4.0,7.5
TERRA NOVA,22,28.2,56,71.8,1.0,1.3,77,98.7,0.0,0.0,0.0,0.0,45,57.7,25,32.1,8,10.3,0.0,0.0
TREMEDAL,19,33.9,37,66.1,24.0,42.9,32,57.1,0.0,0.0,0.0,0.0,22,39.3,22,39.3,9,16.1,3.0,5.4
TUCANO,35,33.3,70,66.7,27.0,25.7,52,49.5,26.0,24.8,0.0,0.0,52,49.5,20,19.0,30,28.6,3.0,2.9
UAUÁ,24,35.3,44,64.7,24.0,35.3,44,64.7,0.0,0.0,0.0,0.0,35,51.5,14,20.6,19,27.9,0.0,0.0
UBAITABA,29,33.0,59,67.0,2.0,2.3,86,97.7,0.0,0.0,0.0,0.0,42,47.7,27,30.7,16,18.2,3.0,3.4
UBATÃ,26,31.7,56,68.3,11.0,13.4,71,86.6,0.0,0.0,0.0,0.0,50,61.0,19,23.2,12,14.6,1.0,1.2
UBAÍRA,19,32.2,40,67.8,21.0,35.6,38,64.4,0.0,0.0,0.0,0.0,32,54.2,11,18.6,12,20.3,4.0,6.8
UIBAÍ,13,34.2,25,65.8,15.0,39.5,23,60.5,0.0,0.0,0.0,0.0,16,42.1,11,28.9,8,21.1,3.0,7.9
UMBURANAS,20,35.1,37,64.9,23.0,40.4,34,59.6,0.0,0.0,0.0,0.0,22,38.6,20,35.1,9,15.8,6.0,10.5
UNA,45,32.8,92,67.2,9.0,6.6,127,92.7,0.0,0.0,1.0,0.7,69,50.4,44,32.1,21,15.3,3.0,2.2
URANDI,15,34.1,29,65.9,18.0,40.9,25,56.8,1.0,2.3,0.0,0.0,15,34.1,17,38.6,10,22.7,2.0,4.5
URUÇUCA,33,31.4,72,68.6,14.0,13.3,91,86.7,0.0,0.0,0.0,0.0,45,42.9,40,38.1,14,13.3,6.0,5.7
UTINGA,22,31.4,48,68.6,1.0,1.4,69,98.6,0.0,0.0,0.0,0.0,38,54.3,11,15.7,14,20.0,7.0,10.0
VALENTE,12,30.8,27,69.2,5.0,12.8,34,87.2,0.0,0.0,0.0,0.0,22,56.4,8,20.5,8,20.5,1.0,2.6
VALENÇA,62,31.6,134,68.4,15.0,7.7,181,92.3,0.0,0.0,0.0,0.0,79,40.3,55,28.1,42,21.4,20.0,10.2
VARZEDO,16,34.0,31,66.0,9.0,19.1,38,80.9,0.0,0.0,0.0,0.0,19,40.4,17,36.2,5,10.6,6.0,12.8
VERA CRUZ,54,31.8,116,68.2,8.0,4.7,162,95.3,0.0,0.0,0.0,0.0,94,55.3,47,27.6,28,16.5,1.0,0.6
VEREDA,13,35.1,24,64.9,12.0,32.4,25,67.6,0.0,0.0,0.0,0.0,12,32.4,14,37.8,7,18.9,4.0,10.8
VITÓRIA DA CONQUISTA,123,31.9,263,68.1,107.0,27.7,277,71.8,1.0,0.3,1.0,0.3,170,44.0,102,26.4,100,25.9,14.0,3.6
VÁRZEA DA ROÇA,13,39.4,20,60.6,23.0,69.7,10,30.3,0.0,0.0,0.0,0.0,9,27.3,18,54.5,2,6.1,4.0,12.1
VÁRZEA DO POÇO,14,42.4,19,57.6,20.0,60.6,13,39.4,0.0,0.0,0.0,0.0,13,39.4,16,48.5,4,12.1,0.0,0.0
VÁRZEA NOVA,11,33.3,22,66.7,2.0,6.1,31,93.9,0.0,0.0,0.0,0.0,16,48.5,4,12.1,12,36.4,1.0,3.0
WAGNER,16,32.7,33,67.3,5.0,10.2,44,89.8,0.0,0.0,0.0,0.0,33,67.3,5,10.2,10,20.4,1.0,2.0
WANDERLEY,13,35.1,24,64.9,13.0,35.1,24,64.9,0.0,0.0,0.0,0.0,16,43.2,11,29.7,9,24.3,1.0,2.7
WENCESLAU GUIMARÃES,37,34.3,71,65.7,5.0,4.6,103,95.4,0.0,0.0,0.0,0.0,70,64.8,24,22.2,14,13.0,0.0,0.0
XIQUE-XIQUE,16,29.1,39,70.9,5.0,9.1,50,90.9,0.0,0.0,0.0,0.0,27,49.1,9,16.4,15,27.3,4.0,7.3
ÁGUA FRIA,32,33.7,63,66.3,4.0,4.2,91,95.8,0.0,0.0,0.0,0.0,38,40.0,38,40.0,15,15.8,4.0,4.2
ÉRICO CARDOSO,14,32.6,29,67.4,13.0,30.2,29,67.4,0.0,0.0,1.0,2.3,20,46.5,8,18.6,15,34.9,0.0,0.0
