,municipios,repr_pret_eleitos,repr_negr_eleitos,inves_negr100,repr_negra100,codigo_ibge,latitude,longitude
178,João Dourado,74.0,79,43.0,114.72,2918357,-11.3486,-41.6548
179,Juazeiro,117.0,81,27.0,92.86,2918407,-9.41622,-40.5033
180,Jussara,178.0,94,82.0,94.73,2918506,-11.0431,-41.9702
181,Jussari,290.0,96,72.0,96.39,2918555,-15.192,-39.491
182,Jussiape,120.0,92,95.0,101.56,2918605,-13.5155,-41.5882
183,Lafaiete Coutinho,195.0,67,52.0,76.26,2918704,-13.6541,-40.2119
184,Lagoa Real,127.0,39,102.0,64.64,2918753,-14.0334,-42.1328
185,Laje,57.0,72,115.0,101.92,2918803,-13.1673,-39.4213
186,Lajedão,296.0,71,40.0,68.93,2918902,-17.6056,-40.3383
187,Lajedinho,0.0,111,66.0,119.58,2919009,-12.3529,-40.9048
188,Lamarão,0.0,101,33.0,109.8,2919108,-11.773,-38.887
189,Lapão,61.0,98,96.0,102.42,2919157,-11.3851,-41.8286
190,Lençóis,98.0,118,54.0,113.23,2919306,-12.5616,-41.3928
191,Luís Eduardo Magalhães,190.0,101,29.0,101.84,2919553,-12.0956,-45.7866
192,Macajuba,0.0,85,87.0,101.51,2919603,-12.1326,-40.3571
193,Macarani,0.0,84,103.0,110.3,2919702,-15.5646,-40.4209
194,Macaúbas,99.0,102,106.0,95.42,2919801,-13.0186,-42.6945
195,Macururé,0.0,106,37.0,122.59,2919900,-9.16226,-39.0518
196,Mairi,91.0,111,120.0,103.31,2920106,-11.7107,-40.1437
197,Malhada,85.0,104,103.0,105.75,2920205,-14.3371,-43.7686
198,Manoel Vitorino,0.0,108,33.0,136.44,2920403,-14.1476,-40.2399
199,Mansidão,370.0,89,113.0,104.33,2920452,-10.7227,-44.0428
200,Maracás,81.0,61,103.0,89.51,2920502,-13.4355,-40.4323
201,Maragogipe,64.0,87,100.0,111.58,2920601,-12.776,-38.9175
202,Maraú,0.0,113,78.0,103.31,2920700,-14.1035,-39.0137
203,Marcionílio Souza,0.0,108,67.0,112.66,2920809,-13.0064,-40.5295
204,Mascote,184.0,125,64.0,112.02,2920908,-15.5542,-39.3016
205,Matina,89.0,62,101.0,84.95,2921054,-13.9109,-42.8439
206,Medeiros Neto,0.0,70,144.0,74.92,2921104,-17.3707,-40.2238
207,Miguel Calmon,71.0,95,98.0,92.98,2921203,-11.4299,-40.6031
208,Milagres,0.0,102,102.0,100.02,2921302,-12.8646,-39.8611
209,Mirangaba,109.0,93,102.0,97.99,2921401,-10.960999999999999,-40.574
210,Mirante,0.0,68,100.0,103.48,2921450,-14.2385,-40.7718
211,Monte Santo,364.0,101,95.0,126.88,2921500,-10.4374,-39.3321
212,Morpará,416.0,102,82.0,83.42,2921609,-11.5569,-43.2766
213,Mortugaba,0.0,82,123.0,93.9,2921807,-15.0225,-42.3727
214,Mucugê,0.0,135,34.0,131.64,2921906,-13.0053,-41.3703
215,Mucuri,45.0,120,25.0,118.42,2922003,-18.0754,-39.5565
216,Mundo Novo,0.0,74,82.0,95.69,2922102,-11.8541,-40.4714
217,Muniz Ferreira,46.0,61,108.0,81.45,2922201,-13.0092,-39.1092
218,Muritiba,30.0,116,110.0,112.03,2922300,-12.6329,-38.9921
219,Mutuípe,137.0,103,88.0,105.66,2922409,-13.2284,-39.5044
220,Nazaré,111.0,99,87.0,93.79,2922508,-13.0235,-39.0108
221,Nilo Peçanha,63.0,117,43.0,99.71,2922607,-13.604000000000001,-39.1091
222,Nordestina,0.0,120,111.0,110.4,2922656,-10.8192,-39.4297
223,Nova Fátima,0.0,93,99.875,85.71,2922730,-11.6031,-39.6302
224,Nova Ibiá,0.0,108,70.0,107.97,2922755,-13.812000000000001,-39.6182
225,Nova Itarana,79.0,119,79.0,121.55,2922805,-13.0241,-40.0653
226,Nova Redenção,0.0,81,110.0,109.22,2922854,-12.815,-41.0748
227,Nova Soure,0.0,53,88.0,72.52,2922904,-11.2329,-38.4871
228,Nova Viçosa,42.0,56,36.0,53.44,2923001,-17.8926,-39.3743
229,Novo Triunfo,284.0,137,111.0,151.69,2923050,-10.3182,-38.4014
230,Olindina,0.0,53,42.0,75.78,2923100,-11.3497,-38.3379
231,Ouriçangas,53.0,99,63.0,99.8,2923308,-12.0175,-38.6166
232,Ourolândia,0.0,99,94.0,101.02,2923357,-10.9578,-41.0756
233,Palmeiras,62.0,110,66.0,103.55,2923506,-12.5059,-41.5809
234,Paratinga,171.0,114,103.0,106.56,2923704,-12.687000000000001,-43.1798
235,Paripiranga,0.0,137,101.0,113.73,2923803,-10.6859,-37.8626
236,Pau Brasil,159.0,133,49.0,128.4,2923902,-15.4572,-39.6458
237,Paulo Afonso,114.0,134,102.0,135.82,2924009,-9.3983,-38.2216
238,Pedrão,126.0,97,106.0,92.1,2924108,-12.1491,-38.6487
239,Pedro Alexandre,0.0,117,103.0,111.74,2924207,-10.012,-37.8932
240,Piatã,188.0,111,100.0,115.53,2924306,-13.1465,-41.7702
